Cty,WB,LongName
AFG,SAS,Afghanistan
AGO,SSA,Angola
ALB,ECA,Albania
ARG,LAC,Argentina
ARM,ECA,Armenia
AUS,EAP,Australia
AUT,WEU,Austria
AZE,ECA,Azerbaijan
BDI,SSA,Burundi
BEN,SSA,Benin
BFA,SSA,Burkina Faso
BGD,SAS,Bangladesh
BGR,WEU,Bulgaria
BLR,ECA,Belarus
BLT,ECA,Baltic States
BLX,WEU,Belgium-Luxembourg
BLZ,LAC,Belize
BOL,LAC,Bolivia
BRA,LAC,Brazil
BTN,SAS,Bhutan
BWA,SSA,Botswana
CAF,SSA,Central African Rep.
CAN,NAM,Canada
CHL,LAC,Chile
CHM,EAP,China
CHP,WEU,Switzerland
CIV,SSA,Ivory Coast
CMR,SSA,Cameroon
COD,SSA,DRC
COG,SSA,Congo
COL,LAC,Colombia
CRB,LAC,Other Caribbean
CRI,LAC,Costa Rica
CUB,LAC,Cuba
CYP,WEU,Cyprus
CZE,ECA,Czech Republic
DEU,WEU,Germany
DJI,SSA,Djibouti
DNK,WEU,Denmark
DOM,LAC,Dominican Republic
DZA,MEN,Algeria
ECU,LAC,Ecuador
EGY,MEN,Egypt
ERI,SSA,Eritrea
ETH,SSA,Ethiopia
FJI,EAP,Fiji
FNP,WEU,Finland
FRP,WEU,France
GAB,SSA,Gabon
GEO,ECA,Georgia
GHA,SSA,Ghana
GIN,SSA,Guinea
GMB,SSA,Gambia
GNB,SSA,Guinea-Bissau
GNQ,SSA,Equatorial Guinea
GRC,ECA,Greece
GRL,NAM,Greenland
GSA,LAC,Guyanas
GTM,LAC,Guatemala
HND,LAC,Honduras
HRV,ECA,Croatia
HTI,LAC,Haiti
HUN,ECA,Hungary
IDN,EAP,Indonesia
IND,SAS,India
IRL,WEU,Ireland
IRN,MEN,Iran
IRQ,MEN,Iraq
ISL,WEU,Iceland
ISR,MEN,Israel
ITP,WEU,Italy
JAM,LAC,Jamaica
JOR,MEN,Jordan
JPN,EAP,Japan
KAZ,ECA,Kazakhstan
KEN,SSA,Kenya
KGZ,ECA,Kyrgyzstan
KHM,EAP,Cambodia
KOR,EAP,South Korea
LAO,EAP,Laos
LBN,MEN,Lebanon
LBR,SSA,Liberia
LBY,MEN,Libya
LKA,SAS,Sri Lanka
LSO,SSA,Lesotho
MDA,ECA,Moldova
MDG,SSA,Madagascar
MEX,LAC,Mexico
MLI,SSA,Mali
MMR,EAP,Myanmar
MNG,EAP,Mongolia
MOR,MEN,Morocco
MOZ,SSA,Mozambique
MRT,MEN,Mauritania
MWI,SSA,Malawi
MYS,EAP,Malaysia
NAM,SSA,Namibia
NER,SSA,Niger
NGA,SSA,Nigeria
NIC,LAC,Nicaragua
NLD,WEU,Netherlands
NOR,WEU,Norway
NPL,SAS,Nepal
NZL,EAP,New Zealand
OAO,SSA,Other Atlantic
OBN,ECA,Other Balkans
OIO,EAP,Other Indian Ocean
OPO,EAP,Other Pacific Ocean
OSA,EAP,Other Southeast Asia
PAK,SAS,Pakistan
PAN,LAC,Panama
PER,LAC,Peru
PHL,EAP,Philippines
PNG,EAP,Papua New Guinea
POL,ECA,Poland
PRK,EAP,North Korea
PRT,WEU,Portugal
PRY,LAC,Paraguay
PSE,MEN,Palestine
RAP,MEN,Rest of Arabia
ROU,ECA,Romania
RUS,ECA,Russia
RWA,SSA,Rwanda
SAU,MEN,Saudi Arabia
SDN,SSA,Sudan
SEN,SSA,Senegal
SLB,EAP,Solomon Islands
SLE,SSA,Sierra Leon
SLV,LAC,El Salvador
SOM,SSA,Somalia
SPP,WEU,Spain
SVK,ECA,Slovakia
SVN,ECA,Slovenia
SWE,WEU,Sweden
SWZ,SSA,Swaziland
SYR,MEN,Syria
TCD,SSA,Chad
TGO,SSA,Togo
THA,EAP,Thailand
TJK,ECA,Tajikistan
TKM,ECA,Turkmenistan
TLS,EAP,Timor L'Este
TUN,MEN,Tunisia
TUR,MEN,Turkey
TZA,SSA,Tanzania
UGA,SSA,Uganda
UKP,WEU,UK
UKR,ECA,Ukraine
URY,LAC,Uruguay
USA,NAM,USA
UZB,ECA,Uzbekistan
VEN,LAC,Venezuela
VNM,EAP,Vietnam
VUT,EAP,Vanuatu
YEM,MEN,Yemen
ZAF,SSA,South Africa
ZMB,SSA,Zambia
ZWE,SSA,Zimbabwe
